"Surface","WRank","LRank","Year","Sex"
"Clay",37,125,2000,"M"
"Clay",79,120,2000,"M"
"Clay",22,84,2000,"M"
"Clay",89,57,2000,"M"
"Clay",92,36,2000,"M"
"Clay",74,117,2000,"M"
"Clay",43,168,2000,"M"
"Clay",37,43,2000,"M"
"Clay",79,22,2000,"M"
"Clay",92,89,2000,"M"
"Clay",74,101,2000,"M"
"Clay",79,37,2000,"M"
"Clay",92,74,2000,"M"
"Clay",79,92,2000,"M"
"Clay",27,109,2000,"M"
"Clay",28,113,2000,"M"
"Clay",51,448,2000,"M"
"Clay",16,80,2000,"M"
"Clay",29,71,2000,"M"
"Clay",75,72,2000,"M"
"Clay",119,112,2000,"M"
"Clay",49,95,2000,"M"
"Clay",87,707,2000,"M"
"Clay",110,97,2000,"M"
"Clay",45,212,2000,"M"
"Clay",58,59,2000,"M"
"Clay",224,104,2000,"M"
"Clay",196,124,2000,"M"
"Clay",28,87,2000,"M"
"Clay",326,75,2000,"M"
"Clay",51,119,2000,"M"
"Clay",16,110,2000,"M"
"Clay",29,224,2000,"M"
"Clay",49,256,2000,"M"
"Clay",45,196,2000,"M"
"Clay",58,27,2000,"M"
"Clay",51,58,2000,"M"
"Clay",29,326,2000,"M"
"Clay",49,16,2000,"M"
"Clay",45,28,2000,"M"
"Clay",29,49,2000,"M"
"Clay",45,51,2000,"M"
"Clay",45,29,2000,"M"
"Clay",85,396,2000,"M"
"Clay",53,3,2000,"M"
"Clay",23,432,2000,"M"
"Clay",31,21,2000,"M"
"Clay",60,65,2000,"M"
"Clay",55,69,2000,"M"
"Clay",10,166,2000,"M"
"Clay",90,61,2000,"M"
"Clay",7,73,2000,"M"
"Clay",25,76,2000,"M"
"Clay",81,281,2000,"M"
"Clay",34,18,2000,"M"
"Clay",50,83,2000,"M"
"Clay",5,67,2000,"M"
"Clay",38,421,2000,"M"
"Clay",129,70,2000,"M"
"Clay",53,85,2000,"M"
"Clay",23,81,2000,"M"
"Clay",31,38,2000,"M"
"Clay",10,55,2000,"M"
"Clay",7,60,2000,"M"
"Clay",34,90,2000,"M"
"Clay",50,5,2000,"M"
"Clay",129,25,2000,"M"
"Clay",53,23,2000,"M"
"Clay",7,31,2000,"M"
"Clay",34,10,2000,"M"
"Clay",50,129,2000,"M"
"Clay",53,7,2000,"M"
"Clay",50,34,2000,"M"
"Clay",50,53,2000,"M"
"Clay",44,60,2000,"M"
"Clay",26,17,2000,"M"
"Clay",134,32,2000,"M"
"Clay",84,117,2000,"M"
"Clay",59,61,2000,"M"
"Clay",13,65,2000,"M"
"Clay",19,69,2000,"M"
"Clay",51,15,2000,"M"
"Clay",9,132,2000,"M"
"Clay",20,115,2000,"M"
"Clay",48,18,2000,"M"
"Clay",29,52,2000,"M"
"Clay",62,33,2000,"M"
"Clay",67,38,2000,"M"
"Clay",10,45,2000,"M"
"Clay",24,39,2000,"M"
"Clay",3,46,2000,"M"
"Clay",43,31,2000,"M"
"Clay",42,4,2000,"M"
"Clay",47,8,2000,"M"
"Clay",27,25,2000,"M"
"Clay",28,77,2000,"M"
"Clay",35,22,2000,"M"
"Clay",5,82,2000,"M"
"Clay",37,49,2000,"M"
"Clay",12,36,2000,"M"
"Clay",93,53,2000,"M"
"Clay",30,97,2000,"M"
"Clay",50,85,2000,"M"
"Clay",41,6,2000,"M"
"Clay",23,34,2000,"M"
"Clay",44,5,2000,"M"
"Clay",134,56,2000,"M"
"Clay",84,10,2000,"M"
"Clay",59,23,2000,"M"
"Clay",13,30,2000,"M"
"Clay",19,67,2000,"M"
"Clay",51,20,2000,"M"
"Clay",29,26,2000,"M"
"Clay",62,47,2000,"M"
"Clay",24,3,2000,"M"
"Clay",43,9,2000,"M"
"Clay",42,27,2000,"M"
"Clay",12,37,2000,"M"
"Clay",93,48,2000,"M"
"Clay",50,35,2000,"M"
"Clay",41,28,2000,"M"
"Clay",44,93,2000,"M"
"Clay",13,84,2000,"M"
"Clay",19,43,2000,"M"
"Clay",29,41,2000,"M"
"Clay",62,134,2000,"M"
"Clay",24,59,2000,"M"
"Clay",42,50,2000,"M"
"Clay",12,51,2000,"M"
"Clay",44,19,2000,"M"
"Clay",62,29,2000,"M"
"Clay",24,13,2000,"M"
"Clay",12,42,2000,"M"
